iter	Passed	Remaining
0	7	1520
1	11	1131
2	16	1054
3	20	985
4	23	929
5	27	878
6	31	863
7	35	854
8	38	818
9	41	780
10	44	763
11	48	752
12	51	739
13	54	719
14	56	699
15	59	683
16	61	665
17	64	648
18	66	633
19	69	627
20	72	618
21	75	611
22	77	599
23	81	599
24	85	597
25	89	596
26	92	590
27	96	590
28	99	587
29	102	579
30	105	573
31	108	572
32	113	573
33	116	568
34	119	564
35	122	556
36	124	550
37	127	545
38	130	538
39	132	531
40	135	525
41	138	521
42	141	517
43	145	514
44	147	508
45	150	504
46	153	499
47	156	496
48	160	493
49	163	489
50	166	485
51	168	480
52	171	475
53	174	470
54	176	466
55	180	463
56	183	459
57	186	455
58	188	451
59	192	448
60	194	443
61	197	440
62	201	437
63	206	438
64	209	434
65	211	430
66	215	427
67	218	423
68	221	421
69	224	417
70	227	413
71	230	409
72	233	405
73	236	402
74	239	399
75	243	396
76	246	393
77	248	389
78	252	386
79	255	382
80	258	380
81	261	376
82	264	372
83	266	368
84	270	366
85	274	363
86	278	361
87	281	358
88	284	355
89	288	352
90	291	348
91	294	345
92	297	342
93	301	340
94	304	336
95	307	333
96	310	329
97	313	326
98	317	323
99	320	320
100	323	316
101	326	313
102	329	310
103	332	306
104	334	302
105	338	299
106	340	295
107	343	292
108	346	289
109	349	285
110	352	282
111	354	278
112	357	275
113	361	272
114	364	269
115	367	266
116	370	263
117	374	260
118	377	256
119	380	253
120	382	249
121	385	246
122	388	243
123	391	240
124	394	236
125	398	233
126	401	230
127	404	227
128	407	224
129	409	220
130	412	217
131	415	214
132	419	211
133	421	207
134	425	204
135	428	201
136	431	198
137	433	194
138	437	191
139	440	188
140	443	185
141	447	182
142	450	179
143	453	176
144	455	172
145	458	169
146	461	166
147	465	163
148	467	160
149	470	156
150	474	153
151	477	150
152	480	147
153	483	144
154	486	141
155	490	138
156	492	134
157	495	131
158	498	128
159	501	125
160	504	122
161	507	119
162	510	115
163	513	112
164	517	109
165	520	106
166	523	103
167	526	100
168	529	97
169	533	94
170	536	91
171	539	87
172	542	84
173	545	81
174	549	78
175	551	75
176	554	72
177	558	69
178	560	65
179	563	62
180	566	59
181	570	56
182	573	53
183	577	50
184	581	47
185	584	43
186	587	40
187	590	37
188	593	34
189	596	31
190	599	28
191	602	25
192	605	21
193	608	18
194	611	15
195	616	12
196	619	9
197	627	6
198	630	3
199	633	0
